ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.974278631,-0.671829801,-1.27145842,-1707.097167,-0.671251896,-0.673358953,-1.232276701,-6.774459057,-0.051091834,-0.207007957,-0.084586071,0.394531728,-6.515638041,-3.353701578,-8.636591029,-0.466045465,-1.03609206,-0.456827633,-24,-13.4041394
-0.976884304,-0.697746406,-1.332389939,-1436.655399,-0.700915643,-0.71581287,-1.277339639,-6.761838506,-0.145937729,-0.160288399,-0.251647345,0.325718311,-6.036367222,-3.353701578,-8.636591029,-0.493918589,-1.0702575,-0.509239543,-20,-10.53846983
-0.718477896,-0.430807686,-0.01965507,-3785.272381,0.172644475,0.465112158,0.434357943,-2.126374124,0.114253006,-0.96653859,0.229919681,0.219159596,-11.26569161,-2.393966868,-6.493765586,-0.083194567,-0.784781402,-0.324204893,-26.75,-18.3008257
-0.975855631,-0.669202783,-1.300201004,-1639.276545,-0.678331634,-0.68347946,-1.243024011,-6.771357631,-0.075088024,-0.194961073,-0.127447704,0.374554,-6.403424005,-3.353701578,-8.636591029,-0.472039862,-1.043175075,-0.467304098,-23,-12.68772922
-1.528408729,-0.893768418,-0.551851452,-2518.511809,-1.156938848,-1.587328595,-2.168477644,-4.584615491,0.192483619,-0.445696367,0.170423983,0.735336282,-10.4937992,-4.151690534,-10.80117956,-0.778271188,-1.542609187,-1.423231572,-18.25,-7.492229224
-1.010177089,-0.754026373,0.042540749,-2528.211849,-0.920118634,-1.26136116,-1.814421947,-4.942498375,0.32007965,-0.653268302,0.302019796,0.542454595,-10.57829226,-2.954707099,-7.554296765,-0.325335612,-0.850272806,-0.407292145,-20.5,-10.36213553
-0.717768635,-0.43269428,-0.020255175,-3811.595885,0.177155556,0.474174018,0.443481758,-2.170822509,0.171305537,-0.95064911,0.23185814,0.249941277,-11.14501721,-2.393966868,-6.493765586,-0.06736783,-0.768393275,-0.30990692,-28.75,-19.68874407
-1.613137784,-1.060564632,-0.210852044,-2727.143595,-1.575942167,-2.147554667,-2.776485333,-3.383674112,0.360615566,-0.437698413,0.655583264,0.576370566,-9.739798553,-5.02934934,-13.52988053,-0.745570544,-2.042435372,-0.618675612,-27.25,-8.124531295
-0.416942448,-0.27999412,0.011403613,-2894.051286,-0.14906268,-0.275482909,-0.273373912,-0.08422633,-0.025975548,-1.15532151,0.160378613,-0.099794036,-11.3939027,-1.516308062,-3.765064611,-0.189821674,-0.651505454,-0.026603471,-22.25,-14.20422702
-0.974796438,-0.668684845,-1.274642348,-1404.593105,-0.697679512,-0.702983533,-1.266246128,-6.770389218,-0.163452462,-0.108543721,-0.166358542,0.340513992,-5.901651703,-3.353701578,-8.636591029,-0.472828251,-1.042849661,-0.464983646,-21.5,-11.53972301
