ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.835790878,-0.46273995,-1.613403811,-756.7217531,-0.883838032,-1.045354442,-1.609620664,-5.910243157,-0.528191968,0.072849041,-0.363987877,-0.424070573,-4.324124303,-2.954707099,-7.554296765,-0.502499964,-1.21850258,-0.385263466,-18,-8.47523344
-0.835790878,-0.46273995,-1.613403811,-834.2910864,-0.873086955,-1.035021175,-1.597104643,-5.910385789,-0.494724814,0.026740331,-0.337689243,-0.383148148,-4.609343019,-2.954707099,-7.554296765,-0.50242284,-1.218729762,-0.384711758,-18.5,-8.862732836
-0.9740851,-0.670740184,-1.273953256,-1688.708554,-0.668808446,-0.664798665,-1.224744383,-6.780330124,0.035741141,-0.179456998,-0.063573654,0.471453929,-6.445452495,-3.353701578,-8.636591029,-0.45657746,-1.024344675,-0.44211262,-25,-14.07205575
-0.9740851,-0.670740184,-1.273953256,-1996.19966,-0.647517094,-0.644124311,-1.199784172,-6.780751746,0.057677932,-0.278840407,-0.039462523,0.461525017,-6.979719091,-3.353701578,-8.636591029,-0.45617191,-1.025393355,-0.440278275,-27,-15.60091622
-1.169819242,-0.861813871,-0.130530831,-2454.49576,-0.948864065,-1.274272236,-1.836918166,-4.962165512,0.407992329,-0.440792187,0.376463659,0.549854187,-10.14254446,-3.353701578,-8.636591029,-0.421660368,-0.998715817,-0.438696209,-22.75,-11.9347249
-0.818356894,-0.496723568,-1.031707572,-1214.136281,-0.870525684,-1.12796772,-1.672004915,-5.514744299,-0.20613532,-0.124803066,-0.156165271,0.279231917,-5.544001285,-2.87503725,-6.990184319,-0.376385031,-1.054610364,-0.202739291,-21,-10.78701654
-0.835790878,-0.46273995,-1.613403811,-522.9408384,-0.920852455,-1.080957541,-1.652734069,-5.909754188,-0.65515371,0.230883167,-0.463530333,-0.585259109,-3.330833366,-2.954707099,-7.554296765,-0.502804784,-1.217715616,-0.387384335,-16.5,-7.31021309
-0.835790878,-0.46273995,-1.613403811,-601.0649543,-0.907636087,-1.068240292,-1.637336006,-5.909928409,-0.607660652,0.174586163,-0.426357394,-0.523952601,-3.687515057,-2.954707099,-7.554296765,-0.502688571,-1.217997241,-0.386584612,-17,-7.698990693
-0.835790878,-0.46273995,-1.613403811,-678.985414,-0.895328117,-1.056401932,-1.623000278,-5.910091024,-0.565613743,0.12202676,-0.39337763,-0.470655934,-4.017665172,-2.954707099,-7.554296765,-0.502587842,-1.218258956,-0.385883315,-17.5,-8.08732491
-0.835664203,-0.462184479,-1.611545477,-605.4573537,-0.908451175,-1.074057802,-1.642084001,-5.905243422,-0.685574046,0.147872295,-0.472774796,-0.62864869,-3.714462292,-2.954707099,-7.554296765,-0.508097442,-1.224689759,-0.397056155,-16.5,-7.370073207
-0.836626799,-0.461330606,-1.61343607,-531.7375928,-0.922212255,-1.092594062,-1.662110228,-5.900300084,-0.857122664,0.173201684,-0.570300595,-0.789749876,-3.386863648,-2.954707099,-7.554296765,-0.511780671,-1.228865106,-0.403486957,-15.5,-6.652812662
