ATSC1c,ATSC4c,ATSC7c,ATSC2v,ATSC1se,ATSC1pe,ATSC1are,ATSC1p,AATSC7dv,AATSC2Z,AATSC3Z,AATSC6Z,AATSC2v,SM1_Dzv,SM1_Dzp,MINssCH2,MINsssCH,MINdssC,ETA_dBeta,FilterItLogS
-0.416942448,-0.27999412,0.011403613,-2292.116285,-0.164581459,-0.291557673,-0.293936457,-0.090257573,-0.040848131,-1.099791647,0.19194527,-0.133082542,-11.12677808,-1.516308062,-3.765064611,-0.190520844,-0.649719426,-0.030984685,-18.25,-11.11494168
-0.416942448,-0.27999412,0.011403613,-2894.051286,-0.14906268,-0.275482909,-0.273373912,-0.08422633,-0.025975548,-1.15532151,0.160378613,-0.099794036,-11.3939027,-1.516308062,-3.765064611,-0.189821674,-0.651505454,-0.026603471,-22.25,-14.20422702
-0.424535649,-0.287115398,0.011823001,-2480.353015,-0.163268726,-0.295046397,-0.295916892,-0.038923604,-0.040361269,-1.140711399,0.22257869,-0.118641462,-11.37776612,-1.516308062,-3.765064611,-0.246104225,-0.83771993,-0.066376345,-18.25,-11.22845937
-0.424535649,-0.287115398,0.011823001,-2631.418045,-0.159127848,-0.290508176,-0.29023999,-0.039838216,-0.035189721,-1.153874023,0.213069637,-0.108651117,-11.44094802,-1.516308062,-3.765064611,-0.245959045,-0.838130768,-0.065437121,-19.25,-12.0002251
-0.582478131,-0.350515095,0.020400422,-2441.801978,0.010746696,0.134109951,0.108831748,-1.283825189,-0.001433052,-0.976241863,0.273481062,0.060883231,-11.14978072,-1.99497239,-5.411471322,-0.334523914,-0.774360645,-0.324092378,-18.25,-11.49867149
-0.975813556,-0.657604872,-1.256055087,-1515.705106,-0.694240779,-0.708856204,-1.26915699,-6.762339786,-0.071729561,-0.188513237,-0.232095804,0.383665562,-6.211906174,-3.353701578,-8.636591029,-0.497333636,-1.075952967,-0.530722665,-20.5,-10.92076474
-0.9740851,-0.670740184,-1.273953268,-1379.825543,-0.69428806,-0.68955997,-1.254631094,-6.779828094,0.002264873,-0.060657666,-0.097678809,0.474453003,-5.797586316,-3.353701578,-8.636591029,-0.457173777,-1.023078348,-0.445603317,-23,-12.53930984
-0.9740851,-0.670740184,-1.273953256,-1457.197984,-0.687459561,-0.682921843,-1.246619741,-6.779962368,0.012032521,-0.092479537,-0.087964317,0.474636349,-5.972122886,-3.353701578,-8.636591029,-0.456986883,-1.023432028,-0.444533778,-23.5,-12.9228849
-0.9740851,-0.670740184,-1.273953256,-1534.464713,-0.680951119,-0.676596302,-1.238985083,-6.780090532,0.020794719,-0.122821302,-0.079099371,0.474130326,-6.13785885,-3.353701578,-8.636591029,-0.456828714,-1.023759537,-0.443613639,-24,-13.30619594
-0.977874549,-0.682430477,-1.310796511,-1651.161635,-0.692147854,-0.718121046,-1.275211985,-6.752979402,-0.156301055,-0.285297959,-0.338545376,0.305585987,-6.604646541,-3.353701578,-8.636591029,-0.52152389,-1.106906975,-0.549639407,-19,-9.963930901
-1.169692718,-0.861327309,-0.130229141,-2236.639987,-0.973962038,-1.302697345,-1.869221121,-4.95648289,0.381030387,-0.386713509,0.377543641,0.539910629,-9.984999942,-3.353701578,-8.636591029,-0.428342425,-1.005735133,-0.451113853,-20.75,-10.45064663
-1.170655163,-0.860404515,-0.130520523,-2327.104322,-0.966854883,-1.299517278,-1.863724152,-4.952020921,0.345451806,-0.428748703,0.357259643,0.512882501,-10.11784488,-3.353701578,-8.636591029,-0.432266517,-1.011093513,-0.456043635,-20.75,-10.50156368
-1.171880015,-0.886446976,-0.187495934,-2356.101549,-0.969238182,-1.30934064,-1.872130554,-4.94281401,0.39360353,-0.465243826,0.319542217,0.546382689,-10.24391978,-3.353701578,-8.636591029,-0.45110811,-1.035562798,-0.497520361,-19.75,-9.835043448
-1.122037489,-0.704472314,0.143219455,-2369.484398,-1.083388203,-1.499668975,-2.069491171,-4.60866418,0.320951848,-0.635594271,0.220724053,0.524340282,-10.39247543,-3.353701578,-8.636591029,-0.350530253,-0.880888777,-0.456505821,-19.25,-7.972989897
-1.169692568,-0.861258389,-0.128629941,-2467.66017,-0.95016626,-1.279249567,-1.841220807,-4.957450523,0.382094717,-0.456732632,0.364373382,0.521270008,-10.19694285,-3.353701578,-8.636591029,-0.427974957,-1.006601895,-0.449167751,-22.25,-11.60149554
-1.169692568,-0.861258389,-0.128629941,-2544.494364,-0.942971134,-1.272162875,-1.832757036,-4.957743969,0.377609265,-0.477978951,0.359861774,0.51486351,-10.26005792,-3.353701578,-8.636591029,-0.427874228,-1.006863611,-0.448764813,-22.75,-11.98458651
-1.009886847,-0.727853657,0.074548776,-2590.317936,-0.912203388,-1.249839761,-1.802323008,-4.947376357,0.265010822,-0.653109949,0.315049364,0.480004381,-10.57272627,-2.954707099,-7.554296765,-0.311350273,-0.832256224,-0.373403256,-21.5,-11.07862424
-1.010177089,-0.754026373,0.042540749,-2528.211849,-0.920118634,-1.26136116,-1.814421947,-4.942498375,0.32007965,-0.653268302,0.302019796,0.542454595,-10.57829226,-2.954707099,-7.554296765,-0.325335612,-0.850272806,-0.407292145,-20.5,-10.36213553
-1.170528489,-0.859849043,-0.128653419,-2418.618294,-0.960199607,-1.296538651,-1.858576049,-4.947884397,0.310272802,-0.46874826,0.337433099,0.472727054,-10.2483826,-3.353701578,-8.636591029,-0.437559175,-1.018067656,-0.459968858,-20.75,-10.55156301
-1.169565907,-0.860781149,-0.128040551,-2789.123202,-0.924621038,-1.257415578,-1.813666591,-4.954329642,0.341011362,-0.550604291,0.336010553,0.470428133,-10.48542557,-3.353701578,-8.636591029,-0.431392482,-1.012144309,-0.447858889,-23.75,-12.79814202
-1.009717938,-0.715642015,0.121648335,-2500.398736,-0.931163259,-1.283078556,-1.835534136,-4.929217353,0.302327416,-0.691980598,0.240986193,0.513062561,-10.73132505,-2.954707099,-7.554296765,-0.342018605,-0.871768431,-0.441100923,-18.5,-8.978077994
-1.172715936,-0.885037631,-0.187519422,-2388.410101,-0.971546912,-1.318865826,-1.880278573,-4.93410247,0.3026768,-0.50361892,0.273905348,0.477634075,-10.38439174,-3.353701578,-8.636591029,-0.460083997,-1.046712289,-0.504718898,-18.75,-9.167779897
-1.008952237,-0.727981702,0.100807052,-2652.705404,-0.904529938,-1.238677946,-1.790598647,-4.952167261,0.264867307,-0.653757436,0.32426862,0.488998749,-10.56854743,-2.954707099,-7.554296765,-0.306329017,-0.826274326,-0.365114221,-22.5,-11.79510785
-1.010177089,-0.754026373,0.042540749,-2682.687289,-0.907622089,-1.248531423,-1.799343561,-4.9436918,0.314545088,-0.685104737,0.298503711,0.528538321,-10.68799717,-2.954707099,-7.554296765,-0.32517061,-0.850743611,-0.406590947,-21.5,-11.12736613
-1.610311811,-1.063229775,-0.223380628,-2498.6089,-1.606069936,-2.161175887,-2.800346099,-3.419088205,0.3913501,-0.34337855,0.728311215,0.654736417,-9.323167536,-5.02934934,-13.52988053,-0.73147576,-2.033954856,-0.596020528,-27.75,-8.369048467
-1.610311811,-1.063229775,-0.223380628,-2573.735959,-1.589629285,-2.143775,-2.780005556,-3.41979618,0.391098054,-0.361402575,0.722108808,0.651669622,-9.393196929,-5.02934934,-13.52988053,-0.731375031,-2.034129705,-0.59561759,-28.25,-8.750214119
-1.611274407,-1.062375902,-0.22527121,-2524.333455,-1.606576373,-2.168143662,-2.805695775,-3.406139823,0.344820751,-0.364106121,0.707225044,0.629384798,-9.419154684,-5.02934934,-13.52988053,-0.735550378,-2.036513492,-0.602048392,-27.25,-8.033978555
-0.818303272,-0.497754979,-1.030703856,-1455.693142,-0.853633162,-1.114400326,-1.65387744,-5.510809311,-0.186941108,-0.233200878,-0.141832649,0.224328821,-6.142165157,-2.87503725,-6.990184319,-0.380321093,-1.062407813,-0.202167225,-22,-11.60774126
-0.818303272,-0.497754979,-1.030703856,-1609.28862,-0.842785784,-1.103311526,-1.640439543,-5.511443752,-0.16218294,-0.286796273,-0.121610967,0.237515826,-6.463006504,-2.87503725,-6.990184319,-0.380069838,-1.062951154,-0.200666206,-23,-12.37481553
-0.818176612,-0.497280165,-1.030613737,-2005.711483,-0.821145893,-1.084084423,-1.615821787,-5.50888107,-0.143388239,-0.414289745,-0.096945647,0.223026472,-7.188930047,-2.87503725,-6.990184319,-0.382550174,-1.067122092,-0.201961358,-25,-13.95369345
-0.718604556,-0.431284934,-0.020278041,-3310.439996,0.162541809,0.4557917,0.422369813,-2.135444835,0.12770634,-0.905435026,0.253206982,0.24744472,-11.03479999,-2.393966868,-6.493765586,-0.080262512,-0.777681766,-0.319996837,-24.25,-16.35206758
-0.717895309,-0.433249763,-0.022164251,-3264.527304,0.165614274,0.463950651,0.430111967,-2.185245735,0.196570529,-0.878965661,0.26021127,0.287679501,-10.88175768,-2.393966868,-6.493765586,-0.061863437,-0.758646197,-0.302632338,-25.75,-17.35605774
-0.717895309,-0.433249763,-0.022164251,-3340.487123,0.167610114,0.465977087,0.432622977,-2.185314478,0.194952849,-0.889228201,0.255813851,0.283630682,-10.91662458,-2.393966868,-6.493765586,-0.061747223,-0.758927822,-0.302187256,-26.25,-17.73788185
